entry_time,exit_time,direction,entry_price,exit_price,size,pnl,exit_reason,bars_held,news_risk_score,size_reduced
2013-05-28 10:00:00,2013-05-28 13:00:00,LONG,3017.28,3030.3792857142857,57.25503026337432,750.0000000000057,take_profit,3,3.0,False
2013-05-28 15:00:00,2013-05-28 17:00:00,LONG,3018.69,3006.7485714285713,42.18506998444783,-503.75000000000824,stop_loss,2,0.0,False
2013-05-28 17:00:00,2013-05-29 03:00:00,SHORT,3005.07,3003.56,34.37463260507474,51.90569523367036,time_exit,10,0.0,False
2013-05-29 03:00:00,2013-05-29 13:00:00,SHORT,3003.56,2993.26,34.712107676585845,357.5347090688247,time_exit,10,1.0,False
2013-05-29 13:00:00,2013-05-29 18:00:00,SHORT,2993.26,3006.3528571428574,38.43916163830404,-503.27845202150985,stop_loss,5,1.0,False
2013-05-29 18:00:00,2013-05-30 04:00:00,SHORT,2998.81,2994.37,23.636779624611197,104.94730153327501,time_exit,10,0.0,False
2013-05-30 04:00:00,2013-05-30 13:00:00,SHORT,2994.37,3008.5471428571427,35.358802638890474,-501.286796269069,stop_loss,9,0.0,False
2013-05-30 13:00:00,2013-05-30 23:00:00,LONG,3013.54,3009.32,15.572981873390269,-65.71798350570381,time_exit,10,5.0,True
2013-05-30 23:00:00,2013-05-31 07:00:00,LONG,3009.32,2992.96,30.467712247567206,-498.4517723702034,stop_loss,8,0.0,False
2013-05-31 07:00:00,2013-05-31 13:00:00,SHORT,2992.24,3002.3399999999997,24.552451163779587,-247.97975675416043,stop_loss,6,4.0,True
2013-05-31 13:00:00,2013-05-31 19:00:00,LONG,3009.87,2996.8199999999997,18.954774510520064,-247.3598073622903,stop_loss,6,6.0,True
2013-05-31 19:00:00,2013-06-03 15:00:00,SHORT,2984.51,2953.3742857142856,23.77412050801331,740.2242235316502,take_profit,3,0.0,False
2013-06-03 16:00:00,2013-06-03 19:00:00,SHORT,2962.5,2987.2428571428572,20.09403901638551,-497.1839368054264,stop_loss,3,0.0,False
2013-06-03 19:00:00,2013-06-04 05:00:00,SHORT,2989.04,2986.86,18.413730298041994,40.14193204972853,time_exit,10,0.0,False
2013-06-04 05:00:00,2013-06-04 13:00:00,SHORT,2986.86,2999.7685714285717,38.33876812164106,-494.8987267816466,stop_loss,8,1.0,False
2013-06-04 13:00:00,2013-06-04 15:00:00,LONG,3001.22,2990.922857142857,47.82144328571216,-492.42423314772645,stop_loss,2,1.0,False
2013-06-04 15:00:00,2013-06-04 16:00:00,LONG,2998.71,2986.4942857142855,40.10916599080776,-489.962111982005,stop_loss,1,3.0,False
2013-06-05 00:00:00,2013-06-05 10:00:00,SHORT,2974.95,2964.58,24.010315274429097,248.98696939582712,time_exit,10,0.0,False
2013-06-05 10:00:00,2013-06-05 15:00:00,SHORT,2964.58,2948.011428571428,22.124292898883834,366.56792720180255,take_profit,5,6.0,True
2013-06-05 21:00:00,2013-06-06 07:00:00,SHORT,2939.2,2945.07,23.19574826974363,-136.15904234340312,time_exit,10,0.0,False
2013-06-06 07:00:00,2013-06-06 14:00:00,SHORT,2945.07,2931.962142857143,28.03142851768477,367.43196052002054,take_profit,7,5.0,True
2013-06-06 14:00:00,2013-06-06 16:00:00,SHORT,2937.64,2922.967857142857,50.27347865447229,737.6196607439325,take_profit,2,0.0,False
2013-06-06 17:00:00,2013-06-06 18:00:00,SHORT,2925.89,2941.005714285714,32.77612486152313,-495.4345387996758,stop_loss,1,0.0,False
2013-06-06 18:00:00,2013-06-07 04:00:00,SHORT,2938.5,2949.05,27.725386170173298,-292.5028240953333,time_exit,10,0.0,False
2013-06-07 04:00:00,2013-06-07 12:00:00,SHORT,2949.05,2965.4314285714286,30.003174011480173,-491.494851985199,stop_loss,8,1.0,False
2013-06-07 13:00:00,2013-06-07 19:00:00,LONG,2965.61,2988.952142857143,31.426252125924517,733.5560665879174,take_profit,6,0.0,False
2013-06-10 00:00:00,2013-06-10 10:00:00,LONG,2982.66,2990.74,24.55457857331287,198.4009948723662,time_exit,10,0.0,False
2013-06-10 12:00:00,2013-06-10 14:00:00,LONG,2989.66,3001.7864285714286,61.06874255571774,740.5457445488813,take_profit,2,2.0,False
2013-06-10 16:00:00,2013-06-11 02:00:00,LONG,2993.75,2984.24,44.84543073528188,-426.48004629252006,time_exit,10,0.0,False
2013-06-11 02:00:00,2013-06-11 09:00:00,LONG,2984.24,2971.8828571428567,40.07945018112142,-495.267491523868,stop_loss,7,0.0,False
2013-06-11 14:00:00,2013-06-12 00:00:00,SHORT,2974.04,2966.24,34.10993847981476,266.0575201425613,time_exit,10,0.0,False
2013-06-12 00:00:00,2013-06-12 13:00:00,SHORT,2966.24,2964.0,25.309893836299338,56.69416219330499,time_exit,10,0.0,False
2013-06-12 13:00:00,2013-06-12 14:00:00,SHORT,2964.0,2951.52,59.42366736513439,741.6073687168783,take_profit,1,3.0,False
2013-06-12 14:00:00,2013-06-12 16:00:00,SHORT,2951.25,2936.0635714285713,24.599905779952838,373.58471199111807,take_profit,2,5.0,True
2013-06-13 07:00:00,2013-06-13 13:00:00,SHORT,2910.21,2923.7314285714288,36.9769266790303,-499.98087288146496,stop_loss,6,2.0,False
2013-06-13 13:00:00,2013-06-13 16:00:00,SHORT,2926.61,2942.302857142857,15.85055429958756,-248.7404842585264,stop_loss,3,4.0,True
2013-06-13 16:00:00,2013-06-14 02:00:00,LONG,2944.49,2958.27,13.909108923962268,191.66752097220285,time_exit,10,4.0,True
2013-06-14 02:00:00,2013-06-14 12:00:00,LONG,2958.27,2961.21,31.525083567974406,92.68374568984648,time_exit,10,0.0,False
2013-06-14 14:00:00,2013-06-17 03:00:00,SHORT,2946.74,2953.54,37.82014066880367,-257.17695654787184,time_exit,10,0.0,False
2013-06-17 03:00:00,2013-06-17 13:00:00,LONG,2953.54,2975.15,28.311023902259464,611.8012265278306,time_exit,10,0.0,False
2013-06-17 13:00:00,2013-06-17 18:00:00,LONG,2975.15,2963.9171428571426,44.46171952756895,-499.43214377899915,stop_loss,5,1.0,False
2013-06-17 18:00:00,2013-06-18 04:00:00,SHORT,2959.17,2971.49,31.136277134089855,-383.59893429197797,time_exit,10,0.0,False
2013-06-18 04:00:00,2013-06-18 14:00:00,LONG,2971.49,2990.66,38.733723661081,742.5254825829256,take_profit,10,2.0,False
2013-06-18 19:00:00,2013-06-19 05:00:00,LONG,2994.87,2996.24,32.14943650990639,44.04472801856824,time_exit,10,0.0,False
2013-06-19 05:00:00,2013-06-19 15:00:00,LONG,2996.24,2990.43,61.360661913060625,-356.5054457148789,time_exit,10,0.0,False
2013-06-21 05:00:00,2013-06-21 14:00:00,SHORT,2894.75,2871.2192857142854,31.692661738378217,745.7509683195614,take_profit,9,1.0,False
2013-06-21 16:00:00,2013-06-24 05:00:00,SHORT,2875.52,2857.74,25.41329614686168,451.84840549120577,time_exit,10,0.0,False
2013-06-24 05:00:00,2013-06-24 15:00:00,SHORT,2857.74,2834.29,20.001630777299802,469.03824172767673,time_exit,10,2.0,False
2013-06-24 15:00:00,2013-06-24 18:00:00,SHORT,2834.29,2858.502857142857,20.87735855823475,-505.50050029074197,stop_loss,3,0.0,False
2013-06-24 18:00:00,2013-06-25 04:00:00,SHORT,2861.55,2843.77,17.3165993730328,307.8891368525267,time_exit,10,0.0,False
2013-06-25 04:00:00,2013-06-25 07:00:00,SHORT,2843.77,2864.922857142857,23.85079424809128,-504.5124434735527,stop_loss,3,0.0,False
2013-06-25 07:00:00,2013-06-25 17:00:00,SHORT,2862.5,2858.72,24.916182151267588,94.18316853179647,time_exit,10,0.0,False
2013-06-25 17:00:00,2013-06-26 03:00:00,SHORT,2858.72,2855.86,23.03658357146888,65.88462901439345,time_exit,10,1.0,False
2013-06-26 03:00:00,2013-06-26 08:00:00,SHORT,2855.86,2870.88,33.47471506284392,-502.7902202439151,stop_loss,5,1.0,False
2013-06-26 08:00:00,2013-06-26 13:00:00,LONG,2873.06,2892.4185714285713,38.763934956817586,750.4144037140488,take_profit,5,2.0,False
2013-06-26 14:00:00,2013-06-27 00:00:00,LONG,2888.3,2890.92,33.29431337292518,87.23110103706034,time_exit,10,3.0,False
2013-06-27 00:00:00,2013-06-27 10:00:00,LONG,2890.92,2892.66,37.50665402724541,65.26157800739882,time_exit,10,0.0,False
2013-06-27 16:00:00,2013-06-28 02:00:00,LONG,2911.79,2910.32,32.85481759084528,-48.29658185853599,time_exit,10,0.0,False
2013-06-28 02:00:00,2013-06-28 12:00:00,LONG,2910.32,2902.07,39.37836159583438,-324.8714831656336,time_exit,10,1.0,False
2013-06-28 12:00:00,2013-06-28 14:00:00,LONG,2902.07,2891.9028571428576,24.732856186733144,-251.46248211567925,stop_loss,2,4.0,True
